iter	Passed	Remaining
400	20550	30698
401	20601	30646
402	20652	30594
403	20702	30540
404	20742	30473
405	20784	30408
406	20833	30354
407	20893	30316
408	20940	30258
409	20987	30201
410	21034	30145
411	21085	30092
412	21134	30038
413	21190	29994
414	21241	29943
415	21294	29894
416	21344	29841
417	21393	29786
418	21451	29746
419	21501	29692
420	21560	29652
421	21605	29592
422	21670	29559
423	21720	29506
424	21773	29458
425	21827	29411
426	21872	29351
427	21924	29300
428	21971	29244
429	22021	29191
430	22074	29142
431	22123	29087
432	22171	29033
433	22225	28984
434	22278	28936
435	22329	28884
436	22374	28825
437	22430	28780
438	22483	28731
439	22541	28688
440	22590	28635
441	22644	28587
442	22692	28532
443	22741	28477
444	22791	28425
445	22841	28373
446	22888	28315
447	22938	28263
448	22987	28209
449	23041	28161
450	23097	28116
451	23150	28067
452	23197	28011
453	23234	27943
454	23280	27885
455	23330	27832
456	23378	27777
457	23437	27736
458	23490	27686
459	23542	27637
460	23596	27588
461	23643	27532
462	23699	27487
463	23747	27432
464	23806	27389
465	23857	27338
466	23906	27285
467	23960	27237
468	24005	27178
469	24057	27129
470	24116	27086
471	24163	27030
472	24212	26977
473	24269	26932
474	24317	26877
475	24364	26821
476	24418	26773
477	24486	26740
478	24537	26689
479	24592	26641
480	24656	26604
481	24706	26551
482	24757	26500
483	24817	26458
484	24873	26412
485	24923	26359
486	24978	26312
487	25025	26255
488	25071	26199
489	25121	26147
490	25184	26107
491	25235	26056
492	25286	26004
493	25332	25948
494	25380	25893
495	25431	25841
496	25479	25787
497	25529	25734
498	25574	25676
499	25629	25629
500	25671	25568
501	25711	25506
502	25756	25449
503	25802	25393
504	25854	25342
505	25895	25281
506	25944	25228
507	25994	25175
508	26041	25120
509	26095	25072
510	26144	25019
511	26196	24968
512	26248	24918
513	26299	24867
514	26352	24817
515	26398	24761
516	26447	24708
517	26498	24657
518	26553	24609
519	26603	24556
520	26648	24500
521	26689	24439
522	26737	24385
523	26784	24331
524	26827	24272
525	26878	24221
526	26926	24167
527	26975	24114
528	27018	24056
529	27068	24004
530	27116	23950
531	27165	23897
532	27209	23840
533	27267	23795
534	27316	23742
535	27367	23691
536	27415	23637
537	27469	23589
538	27514	23532
539	27569	23485
540	27624	23437
541	27675	23386
542	27725	23334
543	27770	23278
544	27823	23228
545	27873	23176
546	27931	23131
547	27979	23077
548	28026	23023
549	28067	22964
550	28118	22913
551	28167	22860
552	28210	22803
553	28270	22759
554	28320	22707
555	28365	22651
556	28406	22592
557	28451	22536
558	28495	22480
559	28547	22430
560	28599	22379
561	28656	22333
562	28701	22278
563	28752	22226
564	28797	22171
565	28848	22120
566	28902	22071
567	28950	22018
568	28996	21964
569	29036	21904
570	29083	21850
571	29139	21803
572	29195	21756
573	29244	21704
574	29297	21654
575	29343	21599
576	29392	21547
577	29435	21491
578	29485	21439
579	29545	21394
580	29599	21346
581	29658	21300
582	29709	21249
583	29754	21195
584	29802	21142
585	29843	21083
586	29895	21033
587	29948	20984
588	29999	20933
589	30040	20875
590	30086	20821
591	30143	20774
592	30184	20717
593	30227	20660
594	30281	20611
595	30326	20556
596	30368	20499
597	30415	20446
598	30468	20397
599	30515	20343
600	30564	20291
601	30624	20247
602	30677	20197
603	30724	20144
604	30773	20091
605	30821	20038
606	30864	19983
607	30919	19935
608	30963	19879
609	31003	19821
610	31049	19768
611	31095	19714
612	31141	19660
613	31189	19607
614	31240	19557
615	31293	19507
616	31348	19459
617	31399	19408
618	31446	19355
619	31492	19301
620	31538	19248
621	31590	19198
622	31650	19153
623	31718	19112
624	31772	19063
625	31820	19010
626	31872	18960
627	31920	18908
628	31977	18861
629	32033	18813
630	32083	18761
631	32139	18714
632	32181	18658
633	32226	18603
634	32274	18551
635	32330	18503
636	32388	18456
637	32444	18408
638	32505	18363
639	32553	18311
640	32608	18263
641	32659	18211
642	32704	18157
643	32749	18103
644	32803	18054
645	32844	17998
646	32893	17946
647	32948	17898
648	32988	17841
649	33039	17790
650	33083	17735
651	33128	17682
652	33185	17634
653	33237	17584
654	33279	17528
655	33325	17475
656	33375	17424
657	33422	17371
658	33472	17320
659	33527	17271
660	33584	17224
661	33642	17176
662	33690	17124
663	33735	17070
664	33792	17023
665	33839	16970
666	33894	16921
667	33941	16869
668	33990	16817
669	34050	16771
670	34104	16721
671	34160	16673
672	34214	16624
673	34264	16573
674	34314	16521
675	34367	16471
676	34422	16422
677	34481	16375
678	34526	16322
679	34574	16270
680	34623	16218
681	34676	16168
682	34732	16120
683	34786	16070
684	34841	16022
685	34902	15975
686	34952	15924
687	35002	15873
688	35052	15822
689	35112	15775
690	35170	15727
691	35229	15680
692	35285	15631
693	35333	15579
694	35394	15532
695	35448	15483
696	35503	15434
697	35555	15383
698	35616	15336
699	35661	15283
700	35708	15230
701	35751	15176
702	35799	15124
703	35846	15071
704	35902	15023
705	35949	14970
706	35991	14915
707	36037	14863
708	36086	14811
709	36135	14759
710	36182	14707
711	36222	14651
712	36262	14596
713	36318	14547
714	36374	14498
715	36426	14448
716	36478	14398
717	36531	14347
718	36588	14299
719	36640	14249
720	36685	14195
721	36734	14144
722	36782	14092
723	36836	14042
724	36885	13991
725	36930	13938
726	36973	13884
727	37012	13828
728	37065	13778
729	37110	13725
730	37154	13672
731	37212	13624
732	37268	13575
733	37317	13523
734	37370	13473
735	37425	13424
736	37482	13375
737	37538	13326
738	37584	13274
739	37629	13221
740	37667	13165
741	37711	13112
742	37758	13060
743	37799	13006
744	37849	12955
745	37901	12904
746	37947	12852
747	37995	12800
748	38042	12748
749	38097	12699
750	38148	12648
751	38199	12597
752	38249	12546
753	38303	12497
754	38351	12445
755	38405	12395
756	38456	12344
757	38500	12291
758	38550	12240
759	38600	12189
760	38647	12137
761	38693	12085
762	38733	12031
763	38787	11981
764	38838	11930
765	38895	11882
766	38957	11834
767	39019	11787
768	39077	11738
769	39132	11688
770	39184	11638
771	39232	11586
772	39274	11533
773	39319	11480
774	39365	11428
775	39419	11378
776	39476	11329
777	39533	11280
778	39582	11229
779	39633	11178
780	39688	11129
781	39737	11077
782	39791	11027
783	39838	10975
784	39899	10927
785	39946	10876
786	40001	10826
787	40051	10775
788	40100	10723
789	40150	10673
790	40196	10620
791	40253	10571
792	40317	10524
793	40365	10472
794	40417	10422
795	40470	10371
796	40529	10322
797	40583	10273
798	40632	10221
799	40688	10172
800	40740	10121
801	40789	10070
802	40833	10017
803	40884	9966
804	40925	9913
805	40969	9861
806	41020	9810
807	41070	9759
808	41119	9708
809	41171	9657
810	41225	9607
811	41277	9556
812	41325	9505
813	41379	9455
814	41434	9405
815	41494	9356
816	41545	9305
817	41600	9255
818	41654	9205
819	41697	9153
820	41749	9102
821	41799	9051
822	41843	8999
823	41893	8948
824	41945	8897
825	41992	8845
826	42037	8793
827	42091	8743
828	42148	8694
829	42194	8642
830	42248	8591
831	42295	8540
832	42352	8490
833	42392	8437
834	42437	8385
835	42490	8335
836	42535	8283
837	42586	8232
838	42628	8180
839	42677	8128
840	42725	8077
841	42767	8025
842	42809	7972
843	42859	7921
844	42904	7870
845	42952	7818
846	42998	7767
847	43039	7714
848	43087	7663
849	43134	7611
850	43183	7560
851	43223	7508
852	43266	7456
853	43313	7404
854	43357	7353
855	43406	7302
856	43453	7250
857	43506	7200
858	43565	7150
859	43617	7100
860	43660	7048
861	43707	6997
862	43755	6946
863	43806	6895
864	43851	6843
865	43892	6791
866	43938	6740
867	43984	6688
868	44038	6638
869	44085	6587
870	44128	6535
871	44186	6486
872	44243	6436
873	44304	6387
874	44360	6337
875	44425	6288
876	44469	6236
877	44517	6185
878	44566	6134
879	44614	6083
880	44674	6034
881	44723	5983
882	44782	5933
883	44824	5881
884	44877	5831
885	44921	5779
886	44970	5729
887	45021	5678
888	45071	5627
889	45121	5576
890	45170	5525
891	45215	5474
892	45262	5423
893	45299	5371
894	45349	5320
895	45405	5270
896	45452	5219
897	45507	5168
898	45546	5117
899	45595	5066
900	45653	5016
901	45701	4965
902	45752	4914
903	45796	4863
904	45840	4811
905	45878	4760
906	45925	4708
907	45973	4658
908	46021	4607
909	46073	4556
910	46124	4506
911	46168	4454
912	46206	4403
913	46267	4353
914	46309	4301
915	46353	4250
916	46393	4199
917	46441	4148
918	46499	4098
919	46549	4047
920	46597	3996
921	46642	3945
922	46690	3895
923	46731	3843
924	46780	3793
925	46825	3742
926	46864	3690
927	46914	3639
928	46953	3588
929	46999	3537
930	47049	3487
931	47092	3435
932	47142	3385
933	47191	3334
934	47235	3283
935	47291	3233
936	47354	3183
937	47407	3133
938	47461	3083
939	47509	3032
940	47557	2981
941	47606	2931
942	47655	2880
943	47703	2829
944	47751	2779
945	47798	2728
946	47847	2677
947	47895	2627
948	47943	2576
949	47999	2526
950	48061	2476
951	48112	2425
952	48165	2375
953	48219	2325
954	48260	2274
955	48315	2223
956	48369	2173
957	48428	2123
958	48479	2072
959	48530	2022
960	48581	1971
961	48630	1920
962	48687	1870
963	48741	1820
964	48797	1769
965	48843	1719
966	48896	1668
967	48950	1618
968	49003	1567
969	49057	1517
970	49119	1467
971	49171	1416
972	49218	1365
973	49275	1315
974	49336	1265
975	49385	1214
976	49437	1163
977	49486	1113
978	49535	1062
979	49586	1011
980	49635	961
981	49683	910
982	49730	860
983	49791	809
984	49843	759
985	49895	708
986	49945	657
987	50004	607
988	50050	556
989	50103	506
990	50163	455
991	50214	404
992	50270	354
993	50317	303
994	50360	253
995	50412	202
996	50462	151
997	50516	101
998	50570	50
999	50619	0
