iter	Logloss
165	0.3921195871
166	0.3920464007
167	0.3920062221
168	0.3919432199
169	0.3918756417
170	0.3917388951
171	0.3917056083
172	0.3916444475
173	0.3915233538
174	0.3914538504
175	0.3914069754
176	0.3913632812
177	0.3912401228
178	0.3911601004
179	0.391089202
180	0.3910211775
181	0.3908150391
182	0.3907387835
183	0.3906636998
184	0.3906092634
185	0.3905222098
186	0.3904714844
187	0.390411077
188	0.3903372489
189	0.3902649275
190	0.3901476842
191	0.3900912109
192	0.3900405134
193	0.3899545759
194	0.38987899
195	0.3898188616
196	0.3897315011
197	0.389683817
198	0.3896294085
199	0.3894570592
200	0.3894237165
201	0.3893449777
202	0.389300558
203	0.3892762835
204	0.3892446708
205	0.3891204799
206	0.389072433
207	0.389047433
208	0.3890026786
209	0.3889882533
210	0.3889344308
211	0.3888287946
212	0.3887802734
213	0.3886975725
214	0.388634933
215	0.3885825056
216	0.388517048
217	0.388376981
218	0.3883094866
219	0.3882860212
220	0.3882444475
221	0.3876125
222	0.3875614397
223	0.3873911551
224	0.3873381138
225	0.3872714007
226	0.3871569196
227	0.3870965123
228	0.3870739397
229	0.3869064174
230	0.3868085658
231	0.3867515067
232	0.3867184152
233	0.38654774
234	0.3864683873
235	0.3863924107
236	0.38637274
237	0.3862924665
238	0.3862530692
239	0.3862090681
240	0.3861697824
241	0.3861227679
242	0.3860674386
243	0.3859746652
244	0.3859277065
245	0.3858433873
246	0.3857443359
247	0.385719029
248	0.3856732143
249	0.385638058
250	0.3856055525
251	0.3853996931
252	0.3853720424
253	0.3852645368
254	0.3851684431
255	0.3851235212
256	0.3850667969
257	0.3850158761
258	0.3849696987
259	0.3849317522
260	0.3848680525
261	0.3848253627
262	0.3847887277
263	0.3847406529
264	0.3846813337
265	0.3846296875
266	0.3845875
267	0.3845540458
268	0.3843328125
269	0.3842854632
270	0.3842392857
271	0.3841688337
272	0.3841544364
273	0.3840901786
274	0.384061635
275	0.3840184431
276	0.383975
277	0.3839472935
278	0.3839107422
279	0.3838530971
280	0.3838208984
281	0.3831526228
282	0.3828041574
283	0.3827191127
284	0.3826532645
285	0.3826122768
286	0.3825731027
287	0.382527846
288	0.3825083426
289	0.3822329799
290	0.3821870257
291	0.3821423828
292	0.3818109096
293	0.3817540179
294	0.3816925781
295	0.3816622768
296	0.3816033761
297	0.3815548549
298	0.3814935826
299	0.3814607143
300	0.3814100725
301	0.3813541295
302	0.3812963728
303	0.3812180525
304	0.3811726563
305	0.3811353795
306	0.3811096819
307	0.3810559431
308	0.3810137835
309	0.3809735491
310	0.3809666853
311	0.3809085658
312	0.3808591797
313	0.3808130022
314	0.3807589007
315	0.3807192801
316	0.3804936105
317	0.3804516462
318	0.3804100167
319	0.3803407366
320	0.3802928571
321	0.3802546317
322	0.3801994141
323	0.3801473772
324	0.3801112444
325	0.3800961775
326	0.3800394531
327	0.3799754464
328	0.379915346
329	0.3798884766
330	0.3798197824
331	0.379676981
332	0.3796062779
333	0.3795548549
334	0.3795267299
335	0.3794245536
336	0.3793958426
337	0.3793748047
338	0.3793241071
339	0.3792494978
340	0.3791774275
341	0.379123019
342	0.3790112165
343	0.3789763114
344	0.3789455357
345	0.3788851004
346	0.3788544922
347	0.3788197824
348	0.3787999721
349	0.3782637277
350	0.3782375558
351	0.3782112723
352	0.3781274554
353	0.3780782645
354	0.3780489955
355	0.3778910156
356	0.3778560826
357	0.3777830357
358	0.377752846
359	0.3777103516
360	0.3776486886
361	0.3776248605
362	0.3774833705
363	0.3774152902
364	0.3773689174
365	0.3773310826
366	0.3773046875
367	0.3772518973
368	0.3772236328
369	0.3771190011
370	0.3769677455
371	0.3769061105
372	0.3768442243
373	0.3767776507
374	0.3767507812
375	0.3766792411
376	0.3766049665
377	0.3765312221
378	0.3761232422
379	0.3760006138
380	0.3759515625
381	0.3754880301
382	0.3754418527
383	0.3749985491
384	0.3749425502
385	0.3749163783
386	0.3747614676
387	0.3747163783
388	0.3746763114
389	0.3746427734
390	0.3745902065
391	0.3743981864
392	0.3743530413
393	0.3742918527
394	0.3742138672
395	0.3741469866
396	0.3740648158
397	0.3739851842
398	0.3739376116
399	0.3739177455
400	0.3738528181
401	0.3737636161
402	0.3737054967
403	0.3736648717
404	0.3736394252
405	0.3736119699
406	0.3735758371
407	0.3735273717
408	0.373497154
409	0.3734522321
410	0.373082952
411	0.3730478795
412	0.3729863002
413	0.372956529
414	0.3729147321
415	0.3728928292
416	0.3728566685
417	0.3727788225
418	0.3727224888
419	0.3726807757
420	0.3726294085
421	0.3726055804
422	0.3725306641
423	0.3725041016
424	0.3724681083
425	0.3724242746
426	0.3722630022
427	0.3722205636
428	0.372196875
429	0.3721426618
430	0.3721036272
431	0.3718061105
432	0.3717681083
433	0.3717038504
434	0.3715962333
435	0.3715632812
436	0.3715294922
437	0.3714715402
438	0.3711446429
439	0.3710866071
440	0.3707691406
441	0.3707375
442	0.3707205636
443	0.3706794643
444	0.37025625
445	0.3702083426
446	0.3698339844
447	0.3697849609
448	0.3696630022
449	0.3696131138
450	0.3695700335
451	0.3695337333
452	0.3692308036
453	0.3691695592
454	0.3691307478
455	0.3690964844
456	0.3690336775
457	0.368988644
458	0.3689680525
459	0.3689205078
460	0.3688681362
461	0.3688277065
462	0.368701702
463	0.3686749163
464	0.3686167132
465	0.3685670759
466	0.3685318359
467	0.3684862723
468	0.3684361049
469	0.3683121931
470	0.368278683
471	0.3682710658
472	0.3682311384
473	0.3681844866
474	0.3681707031
475	0.3676440569
476	0.3676144531
477	0.3675665737
478	0.3673190011
479	0.3673023996
480	0.3672647042
481	0.3672175502
482	0.3671887835
483	0.3671415737
484	0.3670502511
485	0.3669885045
486	0.3669224051
487	0.3669036272
488	0.3668371931
489	0.3667912109
490	0.36674149
491	0.3667052734
492	0.3666756138
493	0.3663832589
494	0.3663395647
495	0.3662532087
496	0.3662080357
497	0.3661428571
498	0.3660797433
499	0.3660487165
500	0.3659883371
501	0.3659456194
502	0.3656813337
503	0.365376981
504	0.3653151507
505	0.3652758371
506	0.3652487444
507	0.365196317
508	0.3651746652
509	0.3651498605
510	0.3646445871
511	0.3646035156
512	0.3645823382
513	0.3645269252
514	0.3641136998
515	0.3640563616
516	0.3638027902
517	0.3637530413
518	0.3637151786
519	0.3636748326
520	0.3635878069
521	0.363491769
522	0.3633673828
523	0.3633318917
524	0.3632753069
525	0.3632115513
526	0.363163058
527	0.3631137556
528	0.3630148996
529	0.3627944754
530	0.3627480748
531	0.3626652344
532	0.3626401507
533	0.3625730469
534	0.3625425781
535	0.3624966797
536	0.3624561105
537	0.3623873047
538	0.3623003627
539	0.3622437779
540	0.3621825893
541	0.3621409319
542	0.3621006696
543	0.3619174665
544	0.3618745815
545	0.3617710658
546	0.3617447266
547	0.3617321987
548	0.3615477121
549	0.3615087333
550	0.3614654297
551	0.3612324498
552	0.3611655971
553	0.3611305804
554	0.3610861049
555	0.361009096
556	0.3609396763
557	0.3608815848
558	0.3608163225
559	0.3607720424
560	0.3607288225
561	0.3606913783
562	0.360665904
563	0.3605848214
564	0.3605245257
565	0.3604115234
566	0.3601282645
567	0.3600947266
568	0.3600487444
569	0.3600092913
570	0.3599589286
571	0.3599323103
572	0.3599087333
573	0.3598629743
574	0.3595470982
575	0.3594441406
576	0.3594251674
577	0.3593452846
578	0.3592924665
579	0.3592537388
580	0.3592020926
581	0.3591018415
582	0.3590719866
583	0.3590537946
584	0.3589913504
585	0.3589274833
586	0.3588785993
587	0.3588336496
588	0.3587927455
589	0.3587080357
590	0.358677846
591	0.3586401786
592	0.3586047154
593	0.35857101
594	0.3585352679
595	0.3585122489
596	0.3584459821
597	0.3584031529
598	0.3583337612
599	0.3582501116
600	0.3580897321
601	0.3580565848
602	0.3580147042
603	0.3579685268
604	0.3579415737
605	0.3579057199
606	0.3578592355
607	0.3578183594
608	0.3577674107
609	0.3576782087
610	0.3575154855
611	0.357490625
612	0.3573950614
613	0.3573401228
614	0.3573086496
615	0.3572660156
616	0.3572249442
617	0.3571929408
618	0.3571669364
619	0.357145452
620	0.35711649
621	0.3570625837
622	0.3570243583
623	0.3569967913
624	0.3569425502
625	0.3568784598
626	0.3568316127
627	0.3568109375
628	0.3567870257
629	0.3567364676
630	0.3567277065
631	0.3564240234
632	0.3563442243
633	0.3560705078
634	0.3559933594
635	0.3559727958
636	0.35592101
637	0.3558709263
638	0.355828683
639	0.3557730469
640	0.3557458705
641	0.3556850167
642	0.3556652623
643	0.3556361049
644	0.3556159877
645	0.355430385
646	0.3554125837
647	0.3553479074
648	0.3553068638
649	0.3552870815
650	0.3552392857
651	0.3551485491
652	0.3551133929
653	0.3550773158
654	0.3550289621
655	0.3549812779
656	0.354947433
657	0.3549017299
658	0.3546874721
659	0.3546537109
660	0.3546191964
661	0.3546018415
662	0.3545528739
663	0.3544530413
664	0.3544152902
665	0.3543855469
666	0.3543378069
667	0.3542872489
668	0.3542496373
669	0.3542296875
670	0.3541731585
671	0.354153125
672	0.3541081752
673	0.3540699498
674	0.3540424386
675	0.3539807199
676	0.35394375
677	0.3539175502
678	0.3538841239
679	0.3538498326
680	0.3537571708
681	0.3537248047
682	0.3536686942
683	0.3534753348
684	0.3534290179
685	0.3533920201
686	0.3532633092
687	0.3531531808
688	0.3531145368
689	0.3530849609
690	0.3530647321
691	0.3530376395
692	0.3530179967
693	0.3529510045
694	0.3529119978
695	0.3528381696
696	0.3527936105
697	0.3527608259
698	0.3525418527
699	0.3525145368
700	0.3524808594
701	0.3524322824
702	0.3523518694
703	0.3522950614
704	0.35225851
705	0.3522129743
706	0.3521635045
707	0.3521277344
708	0.3520979353
709	0.3520632813
710	0.3519890904
711	0.3519544364
712	0.3519009487
713	0.3518439453
714	0.3518170759
715	0.3517894531
716	0.3517465402
717	0.3516914063
718	0.3516016462
719	0.3515646763
720	0.3515241908
721	0.3514873884
722	0.3514459542
723	0.3514276786
724	0.3513938895
725	0.3513641741
726	0.3511733817
727	0.3511126395
728	0.3510680246
729	0.3510166016
730	0.3509965681
731	0.350955385
732	0.3509198661
733	0.3508944475
734	0.3508698382
735	0.3507811105
736	0.3507507254
737	0.3506957868
738	0.3506574219
739	0.3506099888
740	0.35055625
741	0.3505140067
742	0.3504765625
743	0.3504379185
744	0.3504076172
745	0.3502217634
746	0.3501588449
747	0.3501430804
748	0.3501027623
749	0.3500835937
750	0.3500441685
751	0.350001423
752	0.3499572266
753	0.3499170759
754	0.3498739118
755	0.3498320313
756	0.3498020368
757	0.3497611607
758	0.3497334542
759	0.3495963449
760	0.3495612165
761	0.3495270647
762	0.3494542411
763	0.3493485212
764	0.3493203125
765	0.3492874442
766	0.3492484096
767	0.3492002511
768	0.3491821429
769	0.3491678013
770	0.3491233538
771	0.3490683873
772	0.3490494699
773	0.3490261161
774	0.3489924386
775	0.3489693917
776	0.348922433
777	0.3488833705
778	0.3488367467
779	0.348804827
780	0.3487736049
781	0.3487336496
782	0.3486468192
783	0.3486225446
784	0.3485555525
785	0.3485336775
786	0.3483948103
787	0.3483515625
788	0.3483201451
789	0.3482509487
790	0.3482211775
791	0.3481954241
792	0.3481466797
793	0.3481089007
794	0.3480455357
795	0.3479957589
796	0.3479599051
797	0.3479173828
798	0.3478208705
799	0.3478094587
800	0.3477712891
801	0.3477257533
802	0.3476945871
803	0.347672154
804	0.3476405134
805	0.3475744978
806	0.3475354911
807	0.3474604632
808	0.3474112444
809	0.3474001116
810	0.3473840402
811	0.3473355469
812	0.3472919643
813	0.3472597098
814	0.3471566127
815	0.3471243025
816	0.3470854911
817	0.3470571429
818	0.3470131417
819	0.3469527065
820	0.3468917132
821	0.3468452846
822	0.3467955078
823	0.3467506975
824	0.346672433
825	0.3466325614
826	0.3465917411
827	0.3465354911
828	0.3465056362
829	0.3464668248
830	0.346423019
831	0.346380385
832	0.346336635
833	0.3462966239
834	0.3462007533
835	0.3461199777
836	0.346090067
837	0.3460457868
838	0.3460088449
839	0.3459877232
840	0.3459602121
841	0.3459175502
842	0.3458357143
843	0.3458080915
844	0.3457584263
845	0.345723577
846	0.3456950614
847	0.3456630022
848	0.3456108259
849	0.3455969308
850	0.3455643694
851	0.3455467076
852	0.3455081752
853	0.3454594308
854	0.3454160156
855	0.345324135
856	0.3452949219
857	0.3452625558
858	0.3452477958
859	0.3452039342
860	0.3451152344
861	0.3450655134
862	0.3450276786
863	0.3450158203
864	0.3449993583
865	0.3449815569
866	0.3449646484
867	0.3449239118
868	0.344884096
869	0.3448625837
870	0.3447729911
871	0.3447455915
872	0.3447106027
873	0.3445684989
874	0.3445228516
875	0.3444785993
876	0.3444369141
877	0.3444191406
878	0.3443866071
879	0.3443535435
880	0.3443041574
881	0.3442517857
882	0.3442017857
883	0.3441657645
884	0.3441066406
885	0.3440868862
886	0.3440580078
887	0.3440006975
888	0.3439570033
889	0.343928683
890	0.3438857143
891	0.3438557478
892	0.3438340681
893	0.3437912109
894	0.3437458426
895	0.3437289063
896	0.3436715681
897	0.3436527065
898	0.343600558
899	0.3435685268
900	0.343364202
901	0.3433446429
902	0.343298019
903	0.3432823103
904	0.3431683315
905	0.3431170201
906	0.3430787946
907	0.3430535714
908	0.3429686384
909	0.3429490792
910	0.3428904576
911	0.3428785435
912	0.3428585379
913	0.3428110212
914	0.3427618304
915	0.3427370815
916	0.3426943359
917	0.3426598214
918	0.3426231027
919	0.3426063616
920	0.3425673828
921	0.342528404
922	0.3424709821
923	0.3424497489
924	0.3424240792
925	0.3423917132
926	0.3423492188
927	0.3422900112
928	0.3422496094
929	0.3422111328
930	0.3421947266
931	0.3421657366
932	0.3421478516
933	0.3421155134
934	0.3420897042
935	0.3420632813
936	0.3420272879
937	0.3420141462
938	0.3419944475
939	0.3419556083
940	0.3419105748
941	0.3418661272
942	0.3417740234
943	0.3417501395
944	0.3416461496
945	0.3416239955
946	0.3415837054
947	0.3415457589
948	0.3415250279
949	0.3414955357
950	0.3414730469
951	0.3414478516
952	0.3414006138
953	0.3413801339
954	0.3413298828
955	0.3412822266
956	0.3412467355
957	0.3412279018
958	0.3411938337
959	0.3411539342
960	0.3411222377
961	0.341104827
962	0.3410749163
963	0.3410486886
964	0.3410203962
965	0.3409969308
966	0.34086649
967	0.3408289342
968	0.3406725167
969	0.3406406808
970	0.3406023158
971	0.3405873884
972	0.3405518694
973	0.3405393415
974	0.3405140904
975	0.3404676339
976	0.3403881975
977	0.3401933873
978	0.3401377511
979	0.3401207589
980	0.3400420759
981	0.3400161272
982	0.3399797991
983	0.33994774
984	0.3399082868
985	0.3398508092
986	0.3398190011
987	0.339786077
988	0.3397549665
989	0.3397051897
990	0.3396784877
991	0.3396413225
992	0.3395910435
993	0.339554269
994	0.3395179967
995	0.3394755301
996	0.3394398158
997	0.3393897321
998	0.3393585379
999	0.3393058036
